Season_Number,season_label,Episode_Number,Startup_Name,Industry,industry_grouped,Pitchers_City,Pitchers_State,Pitchers_Average_Age,Number_of_Presenters,team_size_bucket,Original_Ask_Amount,Original_Offered_Equity,Valuation_Requested,valuation_ask_group,equity_ask_group,Received_Offer,deal_closed,Total_Deal_Amount,Total_Deal_Equity,Total_Deal_Debt,Deal_Valuation,Number_of_sharks_in_deal,pct_of_ask_funded,valuation_change_pct
2,Season 2,13,Diabexy,Food,Food,Gurgaon,Haryana,Middle,2,Two founders,150.0,1.0,15000.0,High valuation ask,Low equity offered,True,False,,,,,,,
2,Season 2,14,Kyari,Manufacturing,Manufacturing,Ghaziabad,Uttar Pradesh,Young,2,Two founders,51.0,1.0,5100.0,High valuation ask,Low equity offered,True,True,51.0,6.0,,850.0,2.0,1.0,-0.8333333333333334
2,Season 2,14,MoppFoods,Food,Food,Delhi,Delhi,Middle,2,Two founders,75.0,2.25,3333.333333,High valuation ask,Low equity offered,True,True,75.0,5.0,,1500.0,1.0,1.0,-0.549999999955
2,Season 2,14,Econiture,Furnishing/Household,Furnishing/Household,Amaravati,Maharashtra,Middle,4,3+ founders,50.0,8.0,625.0,Low valuation ask,High equity offered,False,False,,,,,,,
2,Season 2,15,Dobiee,Food,Food,Shinde,Maharashtra,Middle,2,Two founders,72.0,2.0,3600.0,High valuation ask,Low equity offered,True,True,72.0,6.5,,1107.692308,1.0,1.0,-0.6923076922222223
2,Season 2,15,FastBeetle,Services,Services,Srinagar,Jammu & Kashmir,Young,2,Two founders,90.0,3.0,3000.0,High valuation ask,High equity offered,True,True,90.0,7.5,,1200.0,2.0,1.0,-0.6
2,Season 2,15,Pflow,Medical/Health,Medical/Health,Dhule,Maharashtra,Middle,2,Two founders,60.0,1.0,6000.0,High valuation ask,Low equity offered,True,True,60.0,6.0,,1000.0,2.0,1.0,-0.8333333333333334
2,Season 2,16,VSMani,Food,Food,Bangalore,Karnataka,Middle,3,3+ founders,60.0,1.5,4000.0,High valuation ask,Low equity offered,True,True,19.0,1.0,41.0,1900.0,1.0,0.31666666666666665,-0.525
2,Season 2,16,Sepal,Manufacturing,Manufacturing,Hyderabad,Telangana,Middle,2,Two founders,50.0,1.0,5000.0,High valuation ask,Low equity offered,True,True,50.0,2.0,,2500.0,1.0,1.0,-0.5
2,Season 2,16,Solinas,Services,Services,Chennai,Tamil Nadu,Middle,4,3+ founders,90.0,2.0,4500.0,High valuation ask,Low equity offered,True,True,90.0,3.0,,3000.0,2.0,1.0,-0.3333333333333333
2,Season 2,17,AvimeeHerbal,Beauty/Fashion,Beauty/Fashion,Surat,Gujarat,Middle,5,3+ founders,280.0,0.5,56000.0,High valuation ask,Low equity offered,True,False,,,,,,,
